"Name","rp_gen_algorithm","Tags","State","Notes","User","Created","Runtime","Sweep","d_units","depth","input_size","num_mid_units","output_size","projected","epoch","train_acc","train_loss","train_time_step","trainer/global_step","val_acc","val_loss","val_time_step","Train_Allocated_VRAM","Train_Free_VRAM","Train_Reserved_VRAM","Train_Total_VRAM"
"peachy-moon-28","sparse","","finished","-","adrianrob","2023-01-19T14:14:16.000Z","1610","","[4000,1050]","2","2352","200","10","true","29","0.390625","1.613070011138916","31.482751846313477","18749","0.4250999987125397","1.6465765237808228","31.74106216430664","7540637184","13304320","7553941504","15843721216"
"misty-sky-23","sparse_coo","","finished","-","adrianrob","2023-01-19T11:06:26.000Z","6639","","[4000,1050]","2","2352","200","10","true","29","0.40625","1.612451434135437","149.8112030029297","18749","0.42579999566078186","1.6461741924285889","149.38006591796875","1076584448","7186194432","8262778880","15843721216"
"ethereal-snowball-21","sparse_csc","","finished","-","adrianrob","2023-01-18T10:57:07.000Z","2438","","[4000,1050]","2","2352","200","10","true","29","0.421875","1.6121282577514648","1.8585599660873413","18749","0.4255000054836273","1.646364450454712","1.9851691722869873","603037184","7183688192","7786725376","15843721216"
"amber-dragon-19","sparse_csr","","finished","-","adrianrob","2023-01-18T08:34:31.000Z","3062","","[4000,1050]","2","2352","200","10","true","29","0.421875","1.6145285367965698","114.51203155517578","18749","0.4264000058174134","1.6461162567138672","115.30018615722656","599296512","7137097216","7736393728","15843721216"
