"Name","val_acc","val_loss","train_acc","train_loss","Train_Allocated_VRAM","Train_Free_VRAM","Train_Reserved_VRAM","Train_Total_VRAM","train_time_step","trainer/global_step","val_time_step"
"CNN_5675","0.5595999956130981","1.248997449874878","0.5625","1.3490173816680908","720384","3473920","4194304","15843721216","0.6286720037460327","34999","1.2556414604187012"
"CNN_4256","0.5577999949455261","1.2500144243240356","0.59375","1.1854103803634644","695808","3498496","4194304","15843721216","0.6261759996414185","29999","1.0768191814422607"
"CNN_1578","0.4332999885082245","1.537569522857666","0.421875","1.5012381076812744","652288","3542016","4194304","15843721216","1.0528960227966309","20599","1.1476404666900637"
"CNN_1013","0.4264999926090241","1.5520176887512207","0.421875","1.6071717739105225","642560","3551744","4194304","15843721216","0.8680319786071777","61874","1.103767991065979"
"CNN_573","0.392300009727478","1.658416986465454","0.40625","1.4991798400878906","636416","3557888","4194304","15843721216","0.8650239706039429","56874","1.1568152904510498"
"CNN_307","0.3305000066757202","1.7577344179153442","0.234375","1.722347378730774","634368","3559936","4194304","15843721216","0.5530880093574524","51249","1.0151137113571167"
"CNN_466","0.39809998869895935","1.6478874683380127","0.546875","1.3801002502441406","636416","3557888","4194304","15843721216","0.7420160174369812","62499","1.3412375450134275"
"CNN_646","0.4298000037670135","1.5665605068206787","0.5","1.4434365034103394","638464","3555840","4194304","15843721216","1.0317120552062988","23124","1.3104044198989868"
"CNN_2566","0.5397999882698059","1.3035075664520264","0.515625","1.3561205863952637","669184","3525120","4194304","15843721216","1.117568016052246","31874","1.5864827632904053"
