"Name","rp_gen_algorithm","State","Notes","User","Tags","Created","Runtime","Sweep","d_units","in_channels","output_size","projected","Train_Allocated_VRAM","Train_Free_VRAM","Train_Reserved_VRAM","Train_Total_VRAM","epoch","train_acc","train_loss","train_time_step","trainer/global_step","val_acc","val_loss","val_time_step"
"serene-sky-10","sparse_csc","finished","-","adrianrob","","2022-12-11T14:34:21.000Z","232","","[200,500,2000,500,300]","3","10","true","50501632","360540160","411041792","15843721216","7","0.515625","1.5886298418045044","2.2822399139404297","4399","0.3982999920845032","1.6582263708114624","2.675647258758545"
"skilled-meadow-9","sparse_csr","finished","-","adrianrob","","2022-12-11T14:30:01.000Z","240","","[200,500,2000,500,300]","3","10","true","50033664","373591040","423624704","15843721216","7","0.515625","1.5685341358184814","15.036191940307615","4399","0.4014999866485596","1.654191017150879","17.877639770507812"
"stellar-gorge-4","sparse","finished","-","adrianrob","","2022-12-11T01:47:03.000Z","222","","[200,500,2000,500,300]","3","10","true","413993472","20116992","434110464","15843721216","7","0.46875","1.583981990814209","3.046207904815674","4399","0.3991999924182892","1.6539578437805176","3.7934234142303462"
"ethereal-feather-3","sparse_coo","finished","-","adrianrob","","2022-12-11T01:41:34.000Z","279","","[200,500,2000,500,300]","3","10","true","89264640","370011648","459276288","15843721216","6","0.375","1.613245725631714","13.690912246704102","4374","0.398499995470047","1.6555832624435425","17.11433982849121"
