"Name","rp_gen_algorithm","d_units","val_acc","Runtime","val_loss","epoch","projected","train_acc","train_loss","train_time_step","val_time_step"
"FC_Full_472k","gaussian","[2500,500]","0.516700029373169","178","1.435932755470276","5","false","0.609375","1.0939280986785889","0.42822399735450745","0.8384472727775574"
"FC_4k_750","gaussian","[4000,750]","0.4657999873161316","837","1.536980152130127","15","true","0.515625","1.359201192855835","27.873023986816406","28.092037200927734"
"FC_4k_1k","gaussian","[4000,1000]","0.46470001339912415","773","1.5297672748565674","14","true","0.421875","1.6788731813430786","27.868576049804688","28.050355911254883"
"FC_Proj_2.5k_500","gaussian","[2500,500]","0.4442999958992005","639","1.5947964191436768","15","true","0.578125","1.317049264907837","18.944000244140625","19.303226470947266"
"FC_Proj_1.1k_400","gaussian","[1100,400]","0.41429999470710754","364","1.6776304244995115","11","true","0.421875","1.752516508102417","8.582976341247559","8.715338706970215"
"celestial-capybara-24","sparse_csc","[5000,2000]","0.4099000096321106","1444","1.6859482526779177","14","true","0.296875","1.9492908716201784","2.0684800148010254","2.1591525077819824"
"toasty-voice-25","sparse_csc","[4500,1500]","0.40709999203681946","1356","1.689249038696289","14","true","0.390625","1.585874080657959","1.9557759761810305","2.109834671020508"
"FC_Proj_600_150","gaussian","[600,150]","0.374099999666214","365","1.781650185585022","11","true","0.328125","1.855850100517273","4.840928077697754","4.967642784118652"
"FC_Proj_400_100","gaussian","[400,100]","0.35429999232292175","471","1.8164849281311035","15","true","0.359375","1.7687149047851562","3.278559923171997","3.534797191619873"
"FC_Proj_100_50","gaussian","[100,50]","0.267300009727478","461","2.032025098800659","15","true","0.203125","1.9931660890579224","1.2089600563049316","1.2984559535980225"
