"Name","Runtime","val_loss","d_units","epoch","projected","train_acc","train_loss","train_time_step","val_acc","val_time_step"
"FC_4k_1k","773","1.5297672748565674","[4000,1000]","14","true","0.421875","1.6788731813430786","27.868576049804688","0.46470001339912415","28.050355911254883"
"FC_4k_750","837","1.536980152130127","[4000,750]","15","true","0.515625","1.359201192855835","27.873023986816406","0.4657999873161316","28.092037200927734"
"FC_Full_472k","178","1.435932755470276","[2500,500]","5","false","0.609375","1.0939280986785889","0.42822399735450745","0.516700029373169","0.8384472727775574"
"FC_Proj_2.5k_500","639","1.5947964191436768","[2500,500]","15","true","0.578125","1.317049264907837","18.944000244140625","0.4442999958992005","19.303226470947266"
"FC_Proj_1.1k_400","364","1.6776304244995115","[1100,400]","11","true","0.421875","1.752516508102417","8.582976341247559","0.41429999470710754","8.715338706970215"
"FC_Proj_600_150","365","1.781650185585022","[600,150]","11","true","0.328125","1.855850100517273","4.840928077697754","0.374099999666214","4.967642784118652"
"FC_Proj_400_100","471","1.8164849281311035","[400,100]","15","true","0.359375","1.7687149047851562","3.278559923171997","0.35429999232292175","3.534797191619873"
"FC_Proj_100_50","461","2.032025098800659","[100,50]","15","true","0.203125","1.9931660890579224","1.2089600563049316","0.267300009727478","1.2984559535980225"
