"Name","State","Notes","User","Tags","Created","Runtime","Sweep","d_units","in_channels","output_size","projected","rp_gen_algorithm","epoch","train_acc","train_loss","train_time_step","trainer/global_step","val_acc","val_loss","val_time_step"
"CNN_Sparse2Full_3.5k","finished","-","adrianrob","adam","2022-11-08T15:57:29.000Z","1199","","[200,500,2000,500,300]","3","10","true","sparse2full","41","0.421875","1.6732327938079834","2.5963199138641357","26249","0.4440000057220459","1.5630656480789185","3.2081029415130615"
"CNN_Sparse2_3.5k","finished","-","adrianrob","adam","2022-11-08T15:12:53.000Z","1801","","[200,500,2000,500,300]","3","10","true","sparse2","61","0.4375","1.741590142250061","2.845439910888672","38749","0.3693999946117401","1.7329968214035034","3.2101387977600098"
"sparse_coo","finished","-","adrianrob","adam, sparse_coo","2022-12-10T10:04:38.000Z","5477","","[200,500,2000,500,300]","3","10","true","sparse","54","0.421875","1.3036772012710571","20.091007232666016","34374","0.48249998688697815","1.4669394493103027","15.782776832580566"
"CNN_Sparse_3.5k","finished","-","adrianrob","adam","2022-11-08T14:18:15.000Z","1782","","[200,500,2000,500,300]","3","10","true","sparse","61","0.421875","1.6442283391952517","2.652672052383423","38749","0.426800012588501","1.5967912673950195","3.0341947078704834"
"CNN_Ortho_3.5k","finished","-","adrianrob","adam","2022-11-08T13:46:13.000Z","1424","","[200,500,2000,500,300]","3","10","true","ortho","49","0.46875","1.2669037580490112","2.940959930419922","31249","0.5575000047683716","1.2578537464141846","3.500744104385376"
"CNN_Proj_3.5k","finished","-","adrianrob","adam","2022-11-07T19:51:09.000Z","2105","","[200,500,2000,500,300]","3","10","true","gaussian","72","0.671875","1.0189921855926514","2.9716479778289795","45624","0.5526999831199646","1.2395451068878174","3.298419237136841"
